capability,customer_problem_addressed,required_inputs,processing_method,outputs,current_status,limitations,evidence_available,website_wording_permitted,approval_status
BIM and IFC viewing,"See and explore the model in the browser",GLB or Fragments model,Three.js/R3F render of optimised GLB; Fragments for detailed,Interactive 3D view with selectable elements,Status not yet confirmed,Demo uses placeholder office GLB not IFC terminal,Placeholder GLB only,"Show only when a working viewer exists; describe what the viewer does, not implied accuracy",Awaiting owner (D-01)
IFC property extraction,"Know what data each element carries",Valid IFC4 with property sets,web-ifc / That Open extraction keyed by GlobalId,Property panel per element,Status not yet confirmed,No real IFC supplied yet,None (demo data only),"State which entity types/Psets are supported once confirmed; until then describe as demonstration",Awaiting owner (D-01)
Quantity extraction,"Get quantities for takeoff",IFC quantities or geometry,Read from IFC QtoSets or compute from geometry,Quantity schedule,Status not yet confirmed,Source (read vs computed) unconfirmed,None (demo data),"Confirm whether read from IFC, computed, or both before claiming",Awaiting owner (D-01)
iCost rate mapping and cost calculation,"Estimate likely project cost and hotspots",Quantities + rate sources,Map quantities to rates; sum material/labour/installation,Cost estimate + hotspots + comparison,Demonstration only (until confirmed),Demo rates only; no validated rate library confirmed,Demo cost values (PDF s10),"Label as demonstration values; confirm rate sources/update process/coverage before factual claims",Awaiting owner (D-10)
SustainZone embodied carbon calculation,"Understand embodied carbon and lower-carbon options",Materials + quantities + emission factors,Apply factors per material/module; sum element carbon,Embodied carbon report + hotspots + alternatives,Demonstration only (until confirmed),Factor sources/modules unconfirmed; not whole-life unless all stages,Demo carbon values (PDF s10),"Label embodied (not whole-life) and demonstration; confirm factor sources/modules/evidence",Awaiting owner (D-10)
Information gap analysis,"Find missing data before it affects decisions",Model + expected property rules,Automated rule checks + manual review,Gap report with severity + affected analysis,Status not yet confirmed,Automated vs manual split unconfirmed,Demo gaps (PDF s9.5/s10),"Confirm automated rules vs manual steps; describe demonstration until confirmed",Awaiting owner (D-01)
Cost and carbon comparison,"Compare options/alternatives before deciding",Two or more option datasets,Side-by-side/slider comparison of cost and carbon,Option comparison + decision report,Demonstration only (until confirmed),Which alternatives/assumptions modellable unconfirmed,Demo comparison,"Confirm modellable alternatives and assumptions; label demonstration",Awaiting owner (D-01)
Scenario visualisation,"Visualise hazard/impact zones and routes",Spatial geometry + scenario assumptions,Highlight affected zones/assets/routes in 3D,Risk heatmap + scenario view + route analysis,Demonstration only,Concept demonstration; not validated engineering,Demo scenario FIRE_CONCOURSE_A (PDF s10.4),"Describe as concept demonstration unless operational; never imply validated simulation",Awaiting owner (D-09)
Engineering risk simulation,"Validated engineering risk outputs",Validated engineering inputs/method,Specialist engineering process,Validated risk outputs,Planned (specialist service until confirmed),Not implemented; not validated,None,"Do not imply validated outputs without method and evidence",Awaiting owner (D-01)
Live sensor integration / operational digital twin,"Operational, live-data digital twin",Live sensor/operational data feeds,Real-time data integration,Operational twin views,Planned / Future (unless confirmed),No working integration,None,"Do not describe as currently available without a working integration; use 'digital twin' only where genuinely relevant",Awaiting owner (D-01)
Automated report generation,"Receive decision-ready reports",Computed results,Template population per report category,Reports (cost/carbon/gap/risk/decision),Status not yet confirmed,Which reports genuinely produced unconfirmed,Demo report fields (PDF s10),"List only report types genuinely produced; label previews as demonstration",Awaiting owner (D-01)
Customer pathway personalisation,"Show only relevant services for my objective/org",Visitor objective + organisation selection,Rule matrix maps selection to pathway + modes,Personalised pathway + enquiry context,Available now (website feature),Front-end logic only; not a claim about the visitor,Designed in 08_CUSTOMER_PATHWAY_RULES,"Safe to ship; must not imply the platform has verified info about the visitor",Provisional - safe
